name,writer,text,cc,tags
"1, 2, 3, 4선생-1", 서덕출 ,"1,  2,  3,  4,  선생
서덕출
나는  학교  조그마한
학생이지만
집에  와선  두  말없이
선생이란다
우리  동무  두  서넛을
다려다  놓고
1. 2.  3.  4.  가르치는
선생이란다
",자유이용 만료,순수
10월의 노래, 조명희 ,"10
월의 노래
짓밟힌 무리의 흘린 핏방울 방울이
지심으로 흘러 흘러 폭발이 되어새 화산 새 세기의 화산이 솟았다.
북방에 높이 솟은 새 히말라야 산
소비에트 공화국그 앞에 낡은 제도는 골짜기같이 무너졌다.
온 세계는 바다같이 끓는다.
오 우리의 모국 소비에트 공화국의 거룩한 탄생이여!
자라나가는 우리의 힘이여!
억척스러운 걸음
걸음이여!
열네 해를 맞는 이 날 아침 맑은 햇빛 아래에더 높이 날려라 붉은 깃발을 더 높이 울려라 승리의 쇠북을!!
만국의 승냥이는 이 갈며 떤다 떤다,사자야 새 화산의 아들 건장한 무리야!원수를 향하여 소리쳐라 동무를 불러 소리쳐라더 한층 높이 쳐라 만세!! 
만세
!!
우리의 손이 망치를 잡았고
우리의 발은 바퀴를 굴린다.
우리의 어깨엔 총이 메여 있고,
우리의 머리 위엔 새 태양과 함께 과학이 빛난다.
이리하여 우리의 건설은 쉬일 날이 없고,
우리의 무장은 원수를 물리치고야 만다.
망치여 더 힘 있게 내려쳐라!
바퀴여 더 빨리 굴러라!
태양이여 더 빛나게 내리쪼여라!
우리의 걸음은 한 시가 급하고,
우리의 팔다리엔 힘줄이 뛴다.
오직
앞으로
!! 
앞으로
!!!
1931. 9.
",자유이용 만료,의지
15일간, 박인환 ,"일간15
깨끗한 시트 위에서
나는 몸부림을 쳐도 소용이 없다.
공간에서 들려오는 공포의 소리
좁은 방에서 나비들이 날은다.
그것을 들어야 하고
그것을 보아야 하는
의식오늘은 어제와 분별이 없건만
내가 애태우는 사람은 날로 멀건만
죽음을 기다리는 수인과 같이
권태로운 하품을 하여야 한다.
창밖에 나리는 미립자
거짓말이 많은 사전
할 수 없이 나는 그것을 본다.
변화가 없는 바다와 하늘 아래서
욕할 수 있는 사람도 없고
알래스카에서 달려온 갈매기처럼
나의 환상의 세계를 휘돌아야 한다.
위스키 한 병 담배 열 갑
아니 내 정신이 소모되어 간다 시간은15
일 간을 태평양에서는 의미가 없다하지만
고립과 콤플렉스의 향기는
내 얼굴과 금 간 육체에 젖어버렸다.
바다는 노하고 나는 잠들려고 한다.
누만년의 자연 속에서 나는 자아를 꿈꾼다.
그것은 기묘한 욕망과
회상의 파편을 다듬는
음참
한 망집
이기도 하다밤이 지나고 고뇌의 날이 온다.
척도
를 위하여 커피를 마신다사변
은 철
과 거대한 비애에 잠긴
하늘과 바다.
그래서 나는 어제 외롭지 않았다.
태평양에서
",자유이용 만료,무심
1926년 3월 19일 야심(一九二六年三月十九日夜心)-36, 김창술 ,"
김창술
독와사를  퍼트린드시  숨맥히는이밤의마음에
좀정이보려는  눈방울이의을  점치는것처럼
유전에저진  농민의경험과  생각의단순이여
교수대우  선  죄수의가슴과가티
검님 보내는긔도에  경건을늣기는바거처
여긔  도는  한가지이  눌러노흔뭉얼이
이우에서  스러질수업느냐
이미련이냐  이단순이냐
이밤의마음에  발악을주려고
된마음이
조선일보,  1926.  4.  23.
",자유이용 만료,#
1929년(一九二九年)-35, 김창술 ,"
김창술
울엉찬새벽고동이  잠들은이을  흔들어  우네
멀거케눈고눈고  이사람이엇만어한잠인들잠들엇스랴!
그래도  아츰종은  쉬을줄몰르게  요란히든다
밤이새엿네  밤이새엿네
이소리는  온누리에차와  참으로  동은트이어온다
우리는  의을  어 안생각하랴
이나라에  려노은의씨는  한달두달되이어서  우리의한를해갓느니
아아  간  그사람들의모양이  이눈에  삼삼하도다
한사람이고  두사람이  멀리갈 우리의두레는  힘을더하나니
한동지를일코  섧어말아라  한생명이  저주바들만생명이  나와을
우리의두레는  개아미의규률가티한다  보라!  무형의진출을
지난해의  이의은  얻무속에서  밝은이움즉엿나니
향촌으로기여든우리의진영글방으로서  튕기처난  모든는
변혁해가는  우리의새이아니냐
우리는  한해쓰든광이를  다시고쳐서  다시고쳐서
의  새을  개혁하자
우리는  다함 용진하자  신진로를향하야
우리는  맹서하고  굿게  힘잇게  한해를  맛자!
싸우리라!  싸우리라!  더욱싸우리라!
  에
동아일보,  1929.  2.  5.
",자유이용 만료,의지
1931년, 이상 ," 1931년 
          1
   나의 폐가 맹장염을 앓다. 제사병원에 입원. 주치의도난ㅡ망명의 소문나다. 
   철늦은 나비를 보라. 간호부인형구입. 모조맹장을 제작하여 한 장의 투명유리의 저편에 대칭
점을 만들다. 자택치료의 묘를 다함. 
   드디어 위병병발하여 안면창백. 빈혈. 
   심장의 거처불명. 위에 있느니, 가슴에 있느니, 이설분분하여 걷잡을 수 없음. 
   다량의 출혈을 보다. 혈액분석의 결과, 나의 피가 무기물의 혼합이라는 것 판명함. 
   퇴원. 거대한 샤프트의 기념비 서다. 백색의 소년, 그 전면에서 협심증으로 쓰러지다. 
   나의 안면에 풀이 돋다. 이는 불요불굴의 미덕을 상징한다. 
   나는 내 자신이 더할 나위 없이 싫어져서 등변형코오스의산보를 매일 같이 계속했다. 피로가 
   아니나다를까, 이는 일구삼이년오월칠일부친의의 사일 대리석발아사건의 전조이었다. 
   허나 그때의 나는 아직 한 개의 방정식무기론의 열렬한 신봉자였다. 
   뇌수체환문제 드디어 중대화되다. 
   나는 남몰래 정충의 일원론을 고집하고 정충의 유기질의분리실험에 성공하다. 
   청년공작에 해후하고  의 비밀을 듣다. 그의 소개로 이양과 알게 되다. 
   유기질의 무기화문제 남다. 
   예의 문제에 광명 보이다. 
            5 
   혼혈아, 나의 입맞춤으로 독살되다.감금당하다. 
           2 
            3 
왔다. 
            4        재차 입원하다. 나는 그다지도 암담한 운명에 직면하여 자살을 결의하고 남몰래 한 자루의 비
수길이삼척을 입수하였다. 
   야음을 타서 나는 병실을 뛰쳐나왔다. 개가 짖었다. 나는이쯤이면 비수를 나의 배꼽에다 찔러 
   불행히도 나를 체포하려고 뒤쫓아온 나의 모친이 나의 등에서 나를 얼싸안은 채 살해되어 있
   지구의 위에 곤두를 섰다는 이유로 나는 제삼인터내슈날당원들 한태서 몰매를 맞았다. 
   그래선 조종사 없는 비행기에 태워진 채로 공중에 내던져졌다. 혹형을 비웃었다. 
   나는 지구의에 접근하는 지구의 재정이면을 이때 엄밀존세히 검산하는 기회를 얻었다. 
   창부가 분만한 사아의 피부전면에 문신이 들어 있었다. 나는 그 암호를 해제하였다. 
   그 사아의 선조는 옛날에 기관차를 치어서 그 기관차로 하여금 유혈임리, 도망치게 한 당대의 
호걸이었다는 말이 기록되어 있었다. 
   나는 제삼번째의 발과 제사번째의 발의 설계중, 혁으로부터의발을 짜르다라는 비보에 접
            6 
박았다. 
었다. 나는 무사하였다. 
            7 
            8 
            9 
하고 악연해지다. 
            10         나의 방의 시계 별안간 십삼을 치다. 그때, 호외의 방울소리 들리다. 나의 탈옥의 기사. 
   불면증과 수면증으로 시달림을 받고 있는 나는 항상 좌우의 기로에 섰다. 
   나의 내부로 향해서 도덕의 기념비가 무너지면서 쓰러져버렸다. 중상. 세상은 착오를 전한다. 
   12113 이튿날즉 그때부터 나의 시계의 침은 삼개였다. 
   삼차각의 여각을 발견하다. 다음에 삼차각과 삼차각의 여각과의 화는 삼차각과 보각이 된다는 
것을 발견하다. 
   인구문제의 응급수당 확정되다. 
   거울의 굴절반사의 법칙은 시간방향유임문제를 해결하다. 궤적의 광년운산 
   나는 겨울의 수량을 빛의 속도에 의해서 계산하였다. 그리고 로켓트의 설계를 중지하였다. 
   별보, 이양 청년공작 가전의 발렴에 감기어서 참사하다. 
   별보, 상형문자에 의한 사도발굴탐색대 그의 기관지를 가지고 성명서를 발표하다. 
   거울의 불황과 함께 비관설 대두하다.
            11 
            12     
",자유이용 만료,#
1950 년의 만가, 박인환 ,"1950
년의 만가
불안한 언덕 위에로
나는 바람에 날려간다
나는 죽어간다
아 행복에서 차단된
헤아릴 수 없는 참혹한 기억 속으로
지폐처럼 더럽힌 여름의 호반
석양처럼 타올랐던 나의 욕망과
예절 있는 숙녀들은 어데로 갔나
불안한 언덕에서
나는 음영처럼 쓰러져간다
무거운 고뇌에서 단순으로
나는 죽어간다
지금은 망각의 시간
서로 위기의 인식과 우애를 나누었던
아름다운 연대
를 회상하면서
나는 하나의 모멸의 개념처럼 죽어간다
경향신문 1950. 5. 16
",자유이용 만료,불안
1950년, 고석규 ,"19501
그날
대피 에 시달린 너의 몸으로 짜작짜작
학질균 이
유황 불처럼 괴로웠다지옥 으로 떠맡기며 서러워 아끼는 웃음 속
의 이빨은 곱게 희었는데 어쩌다 흙묻은 손을 얹으면철창 에든 슬픈
짐승처럼 너는 긴 하품만
토 하였다마구 우거진
기나 의
밀림 속으로 흔들어 자빠진 눈물어린 살
결에 부비며 그 멀어져가는번락 의 자취를 듣는 것이나 너는 나에게 쑥빛같은 입술을 사양하는 것이며열기 에 운 너와 나는 그림자
없는
벽 과
수렴 의
대조 속에 차차 살아 있는 또 다른 너와
나를 믿는 것이었다.
수만리
지역 에서 너를 업고 달려온 내 허벅살에 보이지 않
는 피가 질척하여 넝마의 깃을 꾸며보는 내수척 한
동작 이 사
실은 어둠 속에서 우는 것이었다.
온 하늘이
자주색 피를 널릴 무렵영악 한 모기울음에 눈을
뜨면
투탄목표 가 아직도 먼 잠잠한
굴 속에서 나는 한대의
촛불을 푸른
지하수 를 훔쳐선 너의 입가에 몇번이나 흘리는 것이었
한 서너알 그약 도 우리에겐 바랄 수 없었다 너의 숨소리 부슬거리!
는 모래소리 그리고 물방울소리!
암야 의
지층 에서 나는 피흘
리는 당신의
시종 이었다2
다.또다시 눈을 뜨다 새벽이 밀려오는 하늘소리 가까워 오는 소리가 아닌,
가 아아 그러나 우리들 머리 위에 떼바람처럼 스쳐간 것은 
기총
소사 와
시한폭탄 의
진동 이었을 뿐 내곁에
열 식은 너
의 머리채가 유난히 부드러운 것이었다.
마지막 남은 질병의 벌꿀을 드릴 때 빛누런
액체 를 가쁘게 가슴으로
흘리고선 그 가늘은
취 한 눈을 내게로 열던 너의 선한 눈빛 그리고 밤바람처럼 굴러가는 수없는
지진 을 눈으로 듣다말며 문득 시들어 웃었
다.
꿀물에 번질거리는 당신의 입가는 꽃처럼 피어녹아 젊은 목숨의 불을 바라보는 새벽 어둠 속에 내가 당신의
현재 를 그리고 당신이 나의
현재 에 기대어
혼곤 히 잠든 것이었다",자유이용 만료,불안
1953년의 여자에게, 박인환 ,"1953
년의 여자에게
유행은 섭섭하게도
여자들에게서 떠났다.
왜?
그것은 스스로의 기원을 찾기 위하여
어떠한 날
여자들은
구름과 환상의 접경을 더듬으며
불길한 옷자락을 벗어버린다.
회상의 푸른 물결처럼
고독은 세월에 살고
혼자서 흐느끼는
해변의 여신과도 같이
여자들은 완전한 시간을 본다.
황막한 연대여
거품과 같은 허영이여
그것은 깨어진 거울의 여윈 인상.
필요한 것과
소모의 비례
를 위하여
전쟁은 여자들의 눈을 감시한다.
코르셋으로 침해된 건강은
또한 유행은 정신의 방향을 봉쇄한다.
여기서 최후의 길손을 바라볼 때
허약한 바늘처럼
바람에 쓰러지는
무수한 육체
그것은 카인의 정부
보다
사나운 독을 풍긴다.
출발도 없이
종말도 없이
생명은 부질하게도
여자들에게서 어둠처럼 떠나는 것이다.
왜?
그것을 대답하기에는
너무도 준열한 사회가 있었다.
",자유이용 만료,성찰
3.1절의노래, 박인환 ,"즐겁게
31
절을 노래했던 해부터 지금 년이 지났다
10
31
절의 노래
독립이 있었고
눈보라 치던 피난을 겪으며
곤란과 서러움의 년이 지났다
10변함없이 푸르른 하늘
그때의 사람과
그때의 깃발을
하늘은 잊지 않는다.
아니 내 아버지와 내 가슴에
저항의 피가 흐른다.
지금 우리는 소리 없이 노래 부른다
노래를 부르지 않아도 좋다.
그것은 무거웁게 민족의 마음에
간직되어 있고
우리는 또한 싸움의 년을 보냈다
10우리는 보지 못했어도
저 하늘은 선열의 주검을 보았고
그때의 태양은
지금의 태양월 초하루가 온다맑은 하늘과 우리의 마음에
독립과 자유를 절규하던
그리운 날이 온다.아리랑 1957. 4
",자유이용 만료,#
