,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
0,1,2,3,4,선생,서덕출,학교,조그마,학생,집,와선,두,말없이,선생,이란,동무,두,서넛,다려,놓,1,2,3,4,가르치,선생,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,10,월,노래,짓밟힌,무리,흘린,핏방울,방울,지심,흘러,흘러,폭발,새,화산,새,세기,화산,솟,북방,높이,솟,새,히말라야,산소,비에트,공화국,앞,낡,제도,골짜기,무너졌,온,세계,바다,끓,는다오,모국,소비에트,공화국,거룩,탄생,여자,나가,힘,억척,스러운,걸음걸음,여열,해,맞,날,아침,맑,햇빛,아래,높이,날려라,붉,깃발,높이,울려라,승리,쇠북,만국,승냥이,갈,떤,떤,다사,새,화산,아들,건장,무리,원수,향하,소리,동무,불러,소리,한층,높이,만세,만세,손,망치,잡,발,바퀴,굴린다,어깨,총,메,머리,위,새,태양,과학,빛난다,건설,쉬,일,날,없,무장,원수,물리치,고야,망치,힘,내려,바퀴,빨리,굴러,태양,빛나,내리,쪼,여라,걸음,시,급하,팔다리,힘줄,뛴다,앞,앞,1931,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,일간,15,깨끗,시트,위,몸부림,쳐도,소용,없,공간,들려오,공포,소리,좁,방,나비,날은다,그것,들어야,그것,보,의식,오늘,어제,분별,없,내,애태우,사람,날로,멀,죽음,기다리,수인,권태,하품,여야,창밖,나리,미립자,거짓말,많,사전,할,수,없이,그것,본다,변화,없,바다,하늘,아래,욕할,수,사람,없,알래스카,달려온,갈매기,처럼,환상,세계,휘돌,위스키,병,담배,열,갑,내,정신,소모,간다,15,일,간,태평양,의미,없,고립,콤플렉스,향기,내,얼굴,금,간,육체,젖,버렸,바다,노하,잠들,다누,만년,자연,속,자아,꿈꾼다,그것,기묘,욕망,회상,파편,다듬,음,망집,기,밤,지나,고뇌,날,온다,척도,위하,커피,마신다,사변,철,거대,비애,잠긴,하늘,바다,어제,외롭,않,태평양,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,김창,술독,와사,퍼트린,드,시,숨,맥히,밤,마음,정,보,려는,눈방울,이의,점치,처럼,유전,진,농민,경험,생각,단순,교수,대우,선,죄수,가슴,가티,검,님,보내,긔,경건,늣,기,바,거처,여긔,가지,눌러,노,흔,뭉얼이이우에서,스러질,수,업,미련,냐,단순,냐,밤,마음,발악,주,마음,조선일보,1926,4,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,김창,술,울,엉,찬,새벽,고동,잠들,흔들,우네,멀,케,눈,눈,사람,엇,만어,잠,인들,잠들,엇,스,아츰,종,쉬,줄,몰르,요란히,든다,밤,새,엿,밤,새,엿,소리,온누리,차,참으로,동,트이,온다,안,생각,나라,노은,씨,달,두,달,어서,해,갓,간,사람,모양,눈,삼,삼,하도,사람,두,사람,멀리,갈,두레,힘,동지,일,코,섧,말,생명,저주,바,생명,나와,두레,개아,미,규,률,티,보,무형,진출,지난해,이의은,얻,무속,밝,움,엿,나니,향촌,기여,진영,글방,튕기,처,난,모든,변혁,해,새,냐,해,쓰,광이,다시,고쳐서,다시,고쳐,서의,새,개혁,다함,용진,신,진로,향하,맹서,굿,힘,해,맛,싸우,리라,싸우,리라,더욱,싸우,리라,동아일보,1929,2,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1931,년,1,폐,맹장염,앓,제사,병원,입원,주치의,난,ㅡ망명의,소문나,철,늦,나비,보,간호부,인형,구입,모조,맹장,제작,장,투명,유리,저편,대칭점,만들,자택,치료,묘,다함,드디어,위병,병발,안,면창,백,빈혈,심장,거처불명,위,가슴,이설,분분,걷잡,수,없,음,다량,출혈,혈액,분석,결과,피,무기물,혼합,판명,함,퇴원,거대,샤프트,기념비,백색,소년,전면,협심증,쓰러지,안면,풀,돋,불요불굴,미덕,상징,내,할,나위,없이,싫,져서,등변형,코,오스,산보,매일,계속,했,피로,다를까,일,구,삼,년,오월,칠,일부,친의,사,일,대리석,발아,사건,전조,허나,아직,개,방정식,무기,론,열렬,신봉자,뇌수,체환,문제,드디어,중대,화,남몰래,정충,일원,론,고집,정충,유기질,분리,실험,성공,청년,공작,해후,하고,비밀,듣,소개,이양,알,유기질,무기,화,문제,남,예의,문제,광명,보이
6,1950,년,만가,불안,언덕,위에,바람,날려,간다,죽,간다,행복,차단,헤아릴,수,없,참혹,기억,속,지폐,처럼,더럽힌,여름,호반,석양,처럼,타올랐,욕망,예절,숙녀,어데로,갔,불안,언덕,음영,처럼,쓰,져간다,무거운,고뇌,단순,죽,간다,지금,망각,서로,위기,인식,우애,나누,아름다운,연대,회상,모멸,개념,처럼,죽,간다,경향신문,1950,5,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1950,년,1,그날,대피,시달린,몸,짜,작,짜,작,학질,균,유황,불,처럼,괴로웠,지옥,떠맡기,서러워,아끼,웃음,속,이빨,곱,희,어쩌다,흙,묻,손,얹,철창,슬픈,짐승,처럼,긴,하품,토,마구,우거진,기,밀림,속,흔들,자빠진,눈물,어린,살결,부비,멀,져,번,락,자취,듣,쑥,빛,입술,사양,열기,운,그림자,없,벽,수렴,대조,속,차차,살,믿,수만리,지역,업,달려온,내,허벅살,보이,않,피,질척,넝마,깃,꾸며,보,내,수척,동작,사실,어둠,속,우,온,하늘,자주색,피,널,릴,영악,모기,울음,눈,뜨,투탄,목표,아직,먼,잠잠,굴,속,촛불,푸른,지하수,훔쳐,선,입가,번,흘리,서너,알,약,에겐,바랄,수,없,숨소리,부슬거리,모래,소리,물방울,소리,암야,지층,피,흘리,당신,시종,2,3,다시,눈,뜨,새벽,밀려오,하늘,소리,가까워
8,1953,년,여자,유행,섭섭,여자,에게서,떠났,그것,스스로,기원,찾,기,위하,어떠,날,여자,구름,환상,접경,더듬,불길,옷자락,벗,버린다,회상,푸른,물결,처럼,고독,세월,살,흐느끼,해변,여신,여자,완전,본다,황막,연대,거품,허영,그것,깨어진,거울,여윈,인상,필요,소모,비례,위하,전쟁,여자,눈,감시,코르셋,침해,건강,유행,정신,방향,봉쇄,최후,길손,바라볼,허약,바늘,처럼,바람,쓰러지,무수,육체,그것,카인,정부,사나운,독,풍긴다,출발,없이,종말,없이,생명,부질,여자,에게서,어둠,처럼,떠나,그것,대답,기,너무,준열,사회,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,즐겁,31,절,노래,했,해,지금,년,지났,1031,절,노래,독립,눈보라,치,피난,겪,곤란,서러움,년,지났,10,변함없이,푸르른,하늘,사람,깃발,하늘,잊,않,는다,내,아버지,내,가슴,저항,피,흐른다,지금,소리,없이,노래,부른다,노래,부르,않,좋,그것,무거웁,민족,마음,간직,싸움,년,보냈,10,보,못했,하늘,선열,주검,보,태양,지금,태양,3,월,초,하루,온다,맑,하늘,마음,독립,자유,절규,그리운,날,온다,아리랑,1957,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
